 ref_Re      0-lift     dcl/da  dcl/da@stall  cl_max      cl_min   dCL@stall    cm_avg     min Cd    CL@CDmin     CD2         r         mach
1.00E+05   -4.46E-02   7.45E+00   1.00E+00   1.13E+00   -1.13E+00  6.24E-02   -4.71E-03   2.56E-02   -1.22E-02   7.36E-03   -4.00E-01   1.00E+01
5.33E+05   1.57E-02   5.51E+00   8.86E-01   1.13E+00   -1.13E+00  9.59E-02   6.52E-03   1.01E-02   4.44E-03   5.82E-03   -7.50E-01   1.00E+01
9.67E+05   1.29E-02   5.78E+00   1.61E+00   1.16E+00   -1.17E+00  1.63E-01   4.78E-03   8.72E-03   3.51E-03   4.16E-03   -7.50E-01   1.00E+01
1.40E+06   1.09E-02   5.93E+00   2.03E+00   1.21E+00   -1.22E+00  1.88E-01   3.83E-03   8.08E-03   3.53E-03   3.59E-03   -7.50E-01   1.00E+01
1.83E+06   9.43E-03   6.03E+00   2.35E+00   1.24E+00   -1.25E+00  2.05E-01   3.15E-03   7.70E-03   2.76E-03   3.28E-03   -7.50E-01   1.00E+01
2.27E+06   9.71E-03   6.10E+00   2.52E+00   1.27E+00   -1.28E+00  2.07E-01   2.71E-03   7.44E-03   2.14E-03   3.09E-03   -1.50E-01   1.00E+01
2.70E+06   8.52E-03   6.15E+00   2.68E+00   1.29E+00   -1.30E+00  2.11E-01   2.23E-03   7.25E-03   2.49E-03   2.95E-03   -1.50E-01   1.00E+01
3.13E+06   8.12E-03   6.19E+00   2.80E+00   1.31E+00   -1.32E+00  2.10E-01   1.95E-03   7.10E-03   2.22E-03   2.86E-03   -1.50E-01   1.00E+01
3.57E+06   8.00E-03   6.23E+00   2.84E+00   1.33E+00   -1.34E+00  2.04E-01   1.76E-03   6.98E-03   1.78E-03   2.77E-03   -1.50E-01   1.00E+01
4.00E+06   7.94E-03   6.25E+00   2.92E+00   1.36E+00   -1.36E+00  1.99E-01   1.59E-03   6.89E-03   1.10E-03   2.71E-03   -1.50E-01   1.00E+01
