 ref_Re      0-lift     dcl/da  dcl/da@stall  cl_max      cl_min   dCL@stall    cm_avg     min Cd    CL@CDmin     CD2         r         mach
1.00E+05   -2.26E+00   9.78E+00   4.23E+00   1.26E+00   4.71E-01  2.10E-01   -1.56E-01   2.36E-02   8.16E-01   -6.03E-02   -4.00E-01   1.00E+01
3.11E+05   -4.75E+00   8.03E+00   4.65E+00   1.25E+00   6.46E-01  2.56E-01   -1.86E-01   8.43E-03   1.05E+00   5.18E-02   -7.50E-01   1.00E+01
5.22E+05   -6.78E+00   6.50E+00   4.47E+00   1.36E+00   7.53E-01  1.62E-01   -1.93E-01   5.52E-03   9.89E-01   1.31E-01   -7.50E-01   1.00E+01
7.33E+05   -8.79E+00   5.43E+00   4.58E+00   1.30E+00   7.19E-01  2.34E-01   -1.96E-01   4.66E-03   9.63E-01   1.30E-01   -7.50E-01   1.00E+01
9.44E+05   -1.02E+01   4.85E+00   4.67E+00   1.33E+00   5.94E-01  2.17E-01   -1.98E-01   3.56E-03   8.82E-01   8.00E-02   -7.50E-01   1.00E+01
1.16E+06   -1.04E+01   4.79E+00   4.06E+00   1.51E+00   7.61E-01  4.11E-02   -1.98E-01   -7.79E-04   5.89E-01   3.22E-02   -7.50E-01   1.00E+01
1.37E+06   -1.01E+01   4.91E+00   1.00E+00   1.57E+00   7.74E-01  0.00E+00   -1.98E-01   -5.47E-03   2.44E-01   1.81E-02   -7.50E-01   1.00E+01
1.58E+06   -9.74E+00   5.04E+00   1.00E+00   1.58E+00   7.67E-01  0.00E+00   -1.98E-01   -1.01E-02   -1.39E-01   1.17E-02   -7.50E-01   1.00E+01
1.79E+06   -9.50E+00   5.15E+00   1.00E+00   1.59E+00   7.57E-01  5.00E-04   -1.99E-01   -2.14E-02   -1.07E+00   6.25E-03   -7.50E-01   1.00E+01
2.00E+06   -9.31E+00   5.23E+00   1.00E+00   1.60E+00   7.52E-01  0.00E+00   -1.99E-01   -8.59E-02   -6.32E+00   1.70E-03   -7.50E-01   1.00E+01
