# entire lines can be commented out with the "#" character
# Propeller Diameter [m]
0.6
# Hub Diameter [m]
0.101
# number of blades
2
# r/R   c/R    Airfoil    beta
0.169  0.18   NACA0024   51.8
0.175  0.16   NACA0024   51.8
0.182  0.14   NACA0024   51
0.190  0.12   NACA4418   50.6
0.200  0.1    NACA4418   48.0
0.30   0.1    NACA4418   35
0.35   0.12   NACA4418   32.5
0.40   0.16   NACA4412   27
0.50   0.12   NACA4412   23
0.60   0.08   NACA4412   20
0.70   0.06   NACA4412   17.7
0.80   0.04   NACA4412   15.8
0.90   0.028  NACA4412   15.5
0.93   0.022  NACA4412   14.6
0.96   0.016  NACA4412   14.5
0.98   0.01   NACA4412   14.3
0.99   0.008  NACA4412   14.2
1.00   0.002  NACA4412   14.2
